,Brand Name,Name of the Product,Price,Return/Exchange,Expected Delivery,Availability,Product URL
10,-,-,-,-,-,-,https://www.amazon.in/JUAREZ-JRZ38C-Acoustic-Sunburst-Strings/dp/B01FYYTDS6/ref=sr_1_10?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-10
11,-,-,-,-,-,-,https://www.amazon.in/JUAREZ-JRZ38C-Acoustic-Sunburst-Strings/dp/B01FYYTDTU/ref=sr_1_11?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-11
12,Yamaha,"Yamaha FS100C Acoustic Guitar, Black",-,7 days Replacement,"Sunday, 3 March",In stock,https://www.amazon.in/Yamaha-FS-100C-6-String-Acoustic-without/dp/B00PAS9CK6/ref=sr_1_12?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-12
13,HOVNER,"Hovner 215 Black F-Cut Rosewood Fretboard Acoustic Guitar With Bag,Strap,1 Set of Extra Strings and 2 Picks By K-Retail",-,7 days Replacement,"Wednesday, 28 February",In stock,https://www.amazon.in/Rosewood-Fretboard-Acoustic-Strings-K-Retail/dp/B07KLG8C4P/ref=sr_1_13?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-13
14,Yamaha,Yamaha FS80C 25 Incheses sprucewood The Ultimate Concert Body Cutaway Acoustic Guitar (Black) With Bajaao Gig-Bag,-,7 days Replacement,"Friday, 1 March",In stock,https://www.amazon.in/Ultimate-Concert-Cutaway-Acoustic-Bajaao/dp/B08WHWKKV5/ref=sr_1_14?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-14
15,JUAREZ,"Juârez JRZ38C/WH 6 Strings Acoustic Guitar 38 Inch Cutaway, Right Handed, White with Bag, Strings, Picks and Strap",-,7 days Replacement,"Wednesday, 28 February",In stock,https://www.amazon.in/Ju%C3%A2rez-JRZ38C-WH-Strings-Acoustic/dp/B072MFK4L6/ref=sr_1_15?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-15
16,Kadence,"Kadence Frontier guitar with Online Guitar learning course , Wine Red Acoustic Guitar with Die Cast Keys, Set of Strings, Strap, Picks and Bag (Wine Red, Acoustic)",-,7 days Replacement,"Wednesday, 28 February",In stock,https://www.amazon.in/Kadence-Frontier-Acoustic-Guitar-Strings/dp/B01GDZ46AA/ref=sr_1_16?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-16
17,Henrix,"Henrix 38C 38 Inch Cutaway Acoustic Guitar With Dual Action Truss Rod, Gigbag, Picks, String Set, String Winder, Strap, Polishing Cloth & Ebook - Black",-,7 days Replacement,"Wednesday, 28 February",In stock,https://www.amazon.in/Henrix-Acoustic-Guitar-Die-cast-Dual-action/dp/B07VNDW6QF/ref=sr_1_17?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-17
18,JUAREZ,"JUAREZ JRZ38C 38 Inches Lindenwood Right Handed Acoustic Guitar With Bag, Strings, Pick And Strap (Natural, Brown, 6 Strings)",-,7 days Replacement,"Wednesday, 28 February",In stock,https://www.amazon.in/JUAREZ-JRZ38C-Acoustic-Natural-Strings/dp/B01FYYTDWC/ref=sr_1_18?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-18
19,-,-,-,-,-,-,https://www.amazon.in/Yamaha-Acoustic-Guitar-Tobacco-Sunburst/dp/B08VXR74Q2/ref=sr_1_19?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-19
