,Brand Name,Name of the Product,Price,Return/Exchange,Expected Delivery,Availability,Product URL
20,Intern,"Intern INT-38C-VT-G 38 Incheses Cutaway Right HAnded lindenwood Acoustic Guitar Kit, With Bag, Strings, Pick And Strap (Violet, 6-Strings)",-,7 days Replacement,"Friday, 1 March",In stock,https://www.amazon.in/Intern-INT-38C-VT-G-Guitar-Kit-Violet/dp/B07K8YJXKL/ref=sr_1_20?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-20
21,-,"PERLMAN Paper Guitar Fretboard, Fingerboard Self-Adhesive Stickers, Decals Tool For Learner Or Beginner",-,-,"Thursday, 29 February",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDgyMzkxNzI0MTE3MDUzOjE3MDg2ODY1MjU6c3BfbXRmOjMwMDEwNTMwMzczMTEzMjo6MDo6&url=%2FPerlman-Fretboard-Fingerboard-Stickers-Beginner%2Fdp%2FB096ZDSWJ4%2Fref%3Dsr_1_21_sspa%3Fdib%3DeyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4%26dib_tag%3Dse%26keywords%3Dguitar%26qid%3D1708686525%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
22,VAULT,"Vault DA20 Dreadnought Acoustic Guitar With Gig-Bag, Picks, Strings Set, String Winder, Strap, Polishing Cloth And Allen Key",-,7 days Replacement,"Wednesday, 28 February",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDgyMzkxNzI0MTE3MDUzOjE3MDg2ODY1MjU6c3BfbXRmOjIwMDkyNjI0MDIxNTk4OjowOjo&url=%2FDreadnought-Acoustic-Gig-Bag-Strings-Polishing%2Fdp%2FB0BJJRJVHY%2Fref%3Dsr_1_22_sspa%3Fdib%3DeyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4%26dib_tag%3Dse%26keywords%3Dguitar%26qid%3D1708686525%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
23,Rockon,ROCKON RA-40 BLACK 40 INCHES ACOUSTIC GUITAR WITH HARD THERMOCOL CASE,-,-,"Friday, 1 March",Only 2 left in stock.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDgyMzkxNzI0MTE3MDUzOjE3MDg2ODY1MjU6c3BfbXRmOjMwMDEyMDIyODA4NTIzMjo6MDo6&url=%2FROCKON-RA-40-INCHES-ACOUSTIC-THERMOCOL%2Fdp%2FB0CS9NCWZM%2Fref%3Dsr_1_23_sspa%3Fdib%3DeyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4%26dib_tag%3Dse%26keywords%3Dguitar%26qid%3D1708686525%26sr%3D8-23-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
24,-,ROCKON 41 INCHES ACOUSTIC GUITAR WITH HARD THERMOCOL CASE,-,-,"Friday, 1 March",Only 1 left in stock.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDgyMzkxNzI0MTE3MDUzOjE3MDg2ODY1MjU6c3BfbXRmOjMwMDExOTA0NjgwNjAzMjo6MDo6&url=%2FROCKON-INCHES-ACOUSTIC-GUITAR-THERMOCOL%2Fdp%2FB0CMQTLVV5%2Fref%3Dsr_1_24_sspa%3Fdib%3DeyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4%26dib_tag%3Dse%26keywords%3Dguitar%26qid%3D1708686525%26sr%3D8-24-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
25,-,-,-,-,-,-,https://www.amazon.in/JUAREZ-JRZ38C-PP/dp/B0BCQNLXVM/ref=sr_1_25?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-25
26,Fender,Fender Dreadnought Acoustic Guitar FA-125 Black Right-Handed 971210706,-,7 days Replacement,"Thursday, 29 February",Only 2 left in stock.,https://www.amazon.in/Fender-FA-125-Dreadnought-Acoustic-Guitar/dp/B07J4X9B7R/ref=sr_1_26?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-26
27,Kadence,"Kadence rosewood Guitar Frontier Series, Electric Acoustic Black Guitar With EQ, Die Cast Keys, Set Of Strings, Strap, Picks And Bag (Black EQ, Electric Acoustic)",-,7 days Replacement,"Tuesday, 27 February",In stock,https://www.amazon.in/Kadence-Frontier-Acoustic-Guitar-Strings/dp/B078GTJP5Y/ref=sr_1_27?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-27
28,Kadence,"Kadence Astro Man Electric Guitar, 21 FRETS, H- S - S PICK UPS Walnut Top with Alder wood Back and Sides With Picks, Cable, Strap, Bag, Strings and Amplifier",-,7 days Replacement,-,In stock,https://www.amazon.in/Kadence-Astro-Electric-Guitar-FRETS/dp/B0CNRS4KXB/ref=sr_1_28?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-28
29,-,-,-,-,-,-,https://www.amazon.in/JUAREZ-JRZ38C-BKNA/dp/B0BCQNVPRB/ref=sr_1_29?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-29
30,-,-,-,-,-,-,https://www.amazon.in/JUAREZ-JRZ38C-TBLSNA/dp/B0BCQKQ6CS/ref=sr_1_30?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-30
31,Yamaha,Yamaha 22.8 Inches Merantiwood Classical Guitar C40//02 (Brown),-,7 days Replacement,"Tuesday, 27 February",In stock,https://www.amazon.in/Yamaha-Classical-Guitar-C40-02/dp/B003UGCUFE/ref=sr_1_31?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-31
32,Intern,"Intern INT-38C-SB-G Linden Wood Cutaway Right Handed Acoustic Guitar Kit, With Bag, Strings, Pick And Strap (Sunburst, 6 Strings)",-,7 days Replacement,"Tuesday, 27 February",In stock,https://www.amazon.in/Intern-INT-38C-SB-G-Guitar-Kit-Sunburst/dp/B07K8WLPLH/ref=sr_1_32?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-32
33,Washburn,"Washburn Bella Tono 6 String Acoustic-Electric Guitar, Right, Gloss Charcoal Burst (BTS9VCECH-D)",-,7 days Replacement,"Wednesday, 28 February",In stock,https://www.amazon.in/Washburn-String-Acoustic-Electric-Guitar-BTS9VCECH-D/dp/B07TJXQ1TL/ref=sr_1_33?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-33
34,PS Signature,"PS Signature 41inch Acoustic Guitar Black Matte New Model (Free 1 set Strings, 3 Picks, Bag & Belt)",-,-,"Monday, 26 February",In stock,https://www.amazon.in/PS-Signature-41inch-Acoustic-Strings/dp/B0CGXL3VKG/ref=sr_1_34?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-34
35,-,-,-,-,-,-,https://www.amazon.in/Portible-4-String-Acoustic-Learning-Mahogany/dp/B094ZV7T1S/ref=sr_1_35?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-35
36,Kadence,"Kadence Slowhand Premium Jumbo Semi Acoustic Guitar with Heavy Padded Bag, guitar cable, Pro Capo (Black Spruce Wood)",-,7 days Replacement,"Wednesday, 28 February",In stock,https://www.amazon.in/Kadence-Slowhand-Premium-Acoustic-Instrument/dp/B077SZ667X/ref=sr_1_36?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-36
37,-,-,-,-,-,-,https://www.amazon.in/JUAREZ-JRZ38C-3TSNA/dp/B0BCQQRDF3/ref=sr_1_37?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-37
38,Medellin,"Medellin Acoustic Guitar (with guitar learning course) Neon Pink (Combo, Strings,Bag,Picks and guitar course)",-,7 days Replacement,"Wednesday, 28 February",In stock,https://www.amazon.in/Medellin-Acoustic-Guitar-learning-Strings/dp/B0CCNSN9BV/ref=sr_1_38?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-38
39,blueberry,"BLUEBERRY B-38C, Acoustic Guitar Kit with Bag, Strap, One Pack Strings And 2 Picks - 38 Inch (Black)",-,7 days Replacement,"Wednesday, 28 February",In stock,https://www.amazon.in/Blueberry-38C-Acoustic-Guitar-Strings/dp/B08KLMV4XX/ref=sr_1_39?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-39
40,Yamaha,"Yamaha FS80C Acoustic Guitar Cutaway Concert Body With Mexa Sponge Bag, Guitar Belt, Guitar Stand, String Set & Plectrums.(NT)",-,7 days Replacement,"Thursday, 29 February",Only 1 left in stock.,https://www.amazon.in/FS80C-Acoustic-Cutaway-Concert-Plectrums/dp/B08XVV1WH7/ref=sr_1_40?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-40
41,MOCKING BIRD,MOCKING BIRD 38 Inch Acoustic Guitar for Beginners Musical Instruments For Adults premium kit wood curved cutaway design Guitar Accessories with string & 5 picks & bag for beige (Sunburst Matte),-,7 days Replacement,"Wednesday, 28 February",In stock,https://www.amazon.in/MOCKING-BIRD-Beginners-Instruments-Accessories/dp/B0CNGJP58D/ref=sr_1_41?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-41
42,VAULT,"Vault EA20 Guitar Kit with Learn to Play Ebook, Bag, Strings, Straps, Picks, String winder & Polishing Cloth - 40 inch Cutaway Acoustic Guitar - Natural",-,7 days Replacement,"Wednesday, 28 February",In stock,https://www.amazon.in/Strings-Straps-String-winder-Polishing/dp/B07RV9FJ2Z/ref=sr_1_42?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-42
43,Yamaha,"Yamaha F280 Acoustic wood Guitar, Tobacco own Sunburst With Bajaao Gig bag",-,7 days Replacement,"Friday, 1 March",In stock,https://www.amazon.in/Yamaha-Acoustic-Tobacco-Sunburst-Bajaao/dp/B09PBDGD82/ref=sr_1_43?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-43
44,-,-,-,-,-,-,https://www.amazon.in/Blueberry-VIP-380-38Inch-Acoustic-Guitar/dp/B0BVR96DWH/ref=sr_1_44?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-44
